state,date,icubeds,totalicubeds
NV,9/18/20,623,853
NV,9/19/20,609,860
NV,9/20/20,604,860
NV,9/21/20,594,861
NV,9/22/20,631,862
NV,9/23/20,643,862
NV,9/24/20,622,861
NV,9/25/20,629,874
NV,9/26/20,613,857
NV,9/27/20,602,858
NV,9/28/20,593,854
NV,9/29/20,597,855
NV,9/30/20,602,863
NV,10/1/20,618,867
NV,10/2/20,613,858
NV,10/3/20,601,852
NV,10/4/20,604,854
NV,10/5/20,602,857
NV,10/6/20,627,857
NV,10/7/20,598,858
NV,10/8/20,609,861
NV,10/9/20,608,850
NV,10/10/20,611,855
MT,9/10/20,122,166
NJ,9/10/20,1191,2159
MT,9/11/20,125,169
NJ,9/11/20,1175,2104
MT,9/12/20,122,166
NJ,9/12/20,1162,2089
MT,9/13/20,110,166
NJ,9/13/20,1121,2096
MT,9/14/20,115,168
NJ,9/14/20,1128,2101
MT,9/15/20,121,170
NJ,9/15/20,1171,2102
MT,9/16/20,124,170
NJ,9/16/20,1131,2101
MT,9/17/20,127,182
NJ,9/17/20,1177,2095
MT,9/18/20,124,181
NJ,9/18/20,1210,2084
MT,9/19/20,124,178
NJ,9/19/20,1182,2096
MT,9/20/20,120,178
NJ,9/20/20,1142,2088
MT,9/21/20,110,178
NJ,9/21/20,1161,2087
MT,9/22/20,126,180
NJ,9/22/20,1213,2083
MT,9/23/20,123,179
NJ,9/23/20,1201,2015
MT,9/24/20,127,184
NJ,9/24/20,1186,2016
MT,9/25/20,128,184
NJ,9/25/20,1222,2195
MT,9/26/20,126,182
NJ,9/26/20,1194,2187
MT,9/27/20,116,181
NJ,9/27/20,1158,2175
MT,9/28/20,124,181
NJ,9/28/20,1217,2190
MT,9/29/20,132,181
NJ,9/29/20,1307,2184
MT,9/30/20,143,183
NJ,9/30/20,1335,2182
MT,10/1/20,141,184
NJ,10/1/20,1345,2187
MT,10/2/20,131,186
NJ,10/2/20,1296,2172
MT,10/3/20,134,185
NJ,10/3/20,1258,2194
MT,10/4/20,127,186
NJ,10/4/20,1188,2164
MT,10/5/20,131,187
NJ,10/5/20,1198,2163
MT,10/6/20,145,187
NJ,10/6/20,1324,2198
MT,10/7/20,139,188
NJ,10/7/20,1321,2195
MT,10/8/20,139,188
NJ,10/8/20,1377,2273
MT,10/9/20,136,185
NJ,10/9/20,1336,2211
MT,10/10/20,127,190
NJ,10/10/20,1325,2225
NY,9/10/20,2984,5037
NY,9/11/20,2994,5045
NY,9/12/20,2912,5036
NY,9/13/20,2826,4977
NY,9/14/20,2853,5042
NY,9/15/20,2944,5038
NY,9/16/20,2972,5042
NY,9/17/20,2946,5048
NY,9/18/20,2955,5053
NY,9/19/20,2926,5051
NY,9/20/20,2832,5034
NY,9/21/20,2791,5000
NY,9/22/20,2956,4977
NY,9/23/20,3001,4976
NY,9/24/20,3035,4892
NY,9/25/20,3070,4887
NY,9/26/20,3010,4894
NY,9/27/20,2893,4894
NY,9/28/20,2886,4873
NY,9/29/20,2964,4858
NY,9/30/20,3014,4890
NY,10/1/20,3091,5077
NY,10/2/20,3069,5098
NY,10/3/20,2988,5140
NY,10/4/20,2969,5073
NY,10/5/20,2957,5136
NY,10/6/20,3089,5148
NY,10/7/20,3136,5139
NY,10/8/20,3163,5164
NY,10/9/20,3084,5136
NY,10/10/20,3047,5145
MO,9/10/20,1524,2230
ND,9/10/20,121,100
NE,9/10/20,412,614
NH,9/10/20,147,279
OR,9/10/20,458,712
PR,9/10/20,476,726
RI,9/10/20,138,159
SD,9/10/20,83,94
TX,9/10/20,5760,6945
VT,9/10/20,36,63
MO,9/11/20,1538,2235
ND,9/11/20,111,90
NE,9/11/20,401,607
NH,9/11/20,161,279
OR,9/11/20,466,718
PR,9/11/20,486,720
RI,9/11/20,142,166
SD,9/11/20,75,93
TX,9/11/20,5670,6872
VT,9/11/20,69,105
MO,9/12/20,1486,2236
ND,9/12/20,110,87
NE,9/12/20,410,703
NH,9/12/20,166,279
OR,9/12/20,459,696
PR,9/12/20,485,723
RI,9/12/20,138,171
SD,9/12/20,74,94
TX,9/12/20,5563,6942
VT,9/12/20,72,105
MO,9/13/20,1448,2229
ND,9/13/20,119,193
NE,9/13/20,409,701
NH,9/13/20,144,279
OR,9/13/20,438,692
PR,9/13/20,477,722
RI,9/13/20,133,167
SD,9/13/20,72,94
TX,9/13/20,5443,6847
VT,9/13/20,71,105
MO,9/14/20,1429,2234
ND,9/14/20,128,244
NE,9/14/20,403,613
NH,9/14/20,139,279
OR,9/14/20,449,687
PR,9/14/20,464,715
RI,9/14/20,141,163
SD,9/14/20,82,94
TX,9/14/20,5516,6935
VT,9/14/20,70,105
MO,9/15/20,1507,2239
ND,9/15/20,173,256
NE,9/15/20,417,619
NH,9/15/20,155,279
OR,9/15/20,470,714
PR,9/15/20,463,713
RI,9/15/20,140,167
SD,9/15/20,91,94
TX,9/15/20,5642,6978
VT,9/15/20,72,103
MO,9/16/20,1517,2238
ND,9/16/20,175,254
NE,9/16/20,430,621
NH,9/16/20,159,282
OR,9/16/20,484,724
PR,9/16/20,491,727
RI,9/16/20,138,168
SD,9/16/20,90,94
TX,9/16/20,5696,7005
VT,9/16/20,73,105
MO,9/17/20,1523,2240
ND,9/17/20,182,253
NE,9/17/20,440,621
NH,9/17/20,162,282
OR,9/17/20,484,710
PR,9/17/20,487,723
RI,9/17/20,141,167
SD,9/17/20,96,94
TX,9/17/20,5724,7066
VT,9/17/20,74,105
MO,9/18/20,1523,2246
ND,9/18/20,142,196
NE,9/18/20,435,619
NH,9/18/20,152,282
OR,9/18/20,482,718
PR,9/18/20,502,731
RI,9/18/20,143,166
SD,9/18/20,100,94
TX,9/18/20,5903,7291
VT,9/18/20,74,105
MO,9/19/20,1448,2245
ND,9/19/20,156,197
NE,9/19/20,444,713
NH,9/19/20,144,282
OR,9/19/20,475,724
PR,9/19/20,504,719
RI,9/19/20,139,162
SD,9/19/20,93,94
TX,9/19/20,5851,7182
VT,9/19/20,68,105
MO,9/20/20,1404,2239
ND,9/20/20,154,197
NE,9/20/20,417,666
NH,9/20/20,146,282
OR,9/20/20,441,709
PR,9/20/20,494,716
RI,9/20/20,149,157
SD,9/20/20,82,94
TX,9/20/20,5638,6945
VT,9/20/20,65,105
MO,9/21/20,1426,2234
ND,9/21/20,146,195
NE,9/21/20,430,621
NH,9/21/20,152,283
OR,9/21/20,426,708
PR,9/21/20,488,734
RI,9/21/20,131,157
SD,9/21/20,84,94
TX,9/21/20,5564,6930
VT,9/21/20,67,105
MO,9/22/20,1484,2239
ND,9/22/20,143,195
NE,9/22/20,444,622
NH,9/22/20,158,282
OR,9/22/20,434,715
PR,9/22/20,481,725
RI,9/22/20,132,159
SD,9/22/20,89,102
TX,9/22/20,5637,6898
VT,9/22/20,68,105
MO,9/23/20,1512,2239
ND,9/23/20,128,195
NE,9/23/20,452,614
NH,9/23/20,151,282
OR,9/23/20,484,721
PR,9/23/20,493,713
RI,9/23/20,129,150
SD,9/23/20,90,154
TX,9/23/20,5702,6964
VT,9/23/20,73,105
MO,9/24/20,1559,2238
ND,9/24/20,125,196
NE,9/24/20,450,612
NH,9/24/20,158,282
OR,9/24/20,480,725
PR,9/24/20,511,714
RI,9/24/20,137,158
SD,9/24/20,83,154
TX,9/24/20,5631,6878
VT,9/24/20,69,105
MO,9/25/20,1546,2261
ND,9/25/20,117,196
NE,9/25/20,421,611
NH,9/25/20,158,282
OR,9/25/20,460,681
PR,9/25/20,510,725
RI,9/25/20,129,152
SD,9/25/20,83,153
TX,9/25/20,5729,7081
VT,9/25/20,73,105
MO,9/26/20,1524,2260
ND,9/26/20,117,194
NE,9/26/20,439,643
NH,9/26/20,149,282
OR,9/26/20,449,684
PR,9/26/20,468,666
RI,9/26/20,133,154
SD,9/26/20,86,153
TX,9/26/20,5587,6956
VT,9/26/20,72,105
MO,9/27/20,1474,2254
ND,9/27/20,106,177
NE,9/27/20,418,641
NH,9/27/20,148,282
OR,9/27/20,419,678
PR,9/27/20,472,672
RI,9/27/20,130,151
SD,9/27/20,91,153
TX,9/27/20,5494,6947
VT,9/27/20,65,105
MO,9/28/20,1478,2246
ND,9/28/20,94,78
NE,9/28/20,432,653
NH,9/28/20,145,282
OR,9/28/20,406,650
PR,9/28/20,472,673
RI,9/28/20,135,152
SD,9/28/20,86,154
TX,9/28/20,5504,6950
VT,9/28/20,67,103
MO,9/29/20,1577,2238
ND,9/29/20,109,84
NE,9/29/20,490,660
NH,9/29/20,150,282
OR,9/29/20,456,685
PR,9/29/20,472,672
RI,9/29/20,140,155
SD,9/29/20,92,154
TX,9/29/20,5672,6918
VT,9/29/20,67,103
MO,9/30/20,1549,2216
ND,9/30/20,118,88
NE,9/30/20,471,632
NH,9/30/20,165,282
OR,9/30/20,495,703
PR,9/30/20,461,662
RI,9/30/20,147,169
SD,9/30/20,103,154
TX,9/30/20,5603,6822
VT,9/30/20,69,104
MO,10/1/20,1527,2206
ND,10/1/20,108,85
NE,10/1/20,457,627
NH,10/1/20,165,282
OR,10/1/20,483,692
PR,10/1/20,473,669
RI,10/1/20,129,157
SD,10/1/20,102,154
TX,10/1/20,5680,6884
VT,10/1/20,72,103
MO,10/2/20,1496,2202
ND,10/2/20,111,189
NE,10/2/20,442,617
NH,10/2/20,161,282
OR,10/2/20,484,704
PR,10/2/20,463,672
RI,10/2/20,139,159
SD,10/2/20,100,154
TX,10/2/20,5658,6902
VT,10/2/20,72,103
MO,10/3/20,1460,2202
ND,10/3/20,115,188
NE,10/3/20,422,612
NH,10/3/20,150,282
OR,10/3/20,450,703
PR,10/3/20,459,668
RI,10/3/20,136,156
SD,10/3/20,97,154
TX,10/3/20,5568,6881
VT,10/3/20,69,103
MO,10/4/20,1406,2202
ND,10/4/20,107,186
NE,10/4/20,406,614
NH,10/4/20,136,282
OR,10/4/20,441,692
PR,10/4/20,456,678
RI,10/4/20,133,150
SD,10/4/20,99,154
TX,10/4/20,5427,6845
VT,10/4/20,64,103
MO,10/5/20,1452,2199
ND,10/5/20,105,186
NE,10/5/20,433,625
NH,10/5/20,146,282
OR,10/5/20,445,685
PR,10/5/20,447,671
RI,10/5/20,129,151
SD,10/5/20,103,155
TX,10/5/20,5437,6782
VT,10/5/20,61,103
MO,10/6/20,1563,2194
ND,10/6/20,112,193
NE,10/6/20,456,620
NH,10/6/20,164,283
OR,10/6/20,492,692
PR,10/6/20,451,662
RI,10/6/20,140,169
SD,10/6/20,107,152
TX,10/6/20,5626,6845
VT,10/6/20,68,103
MO,10/7/20,1561,2201
ND,10/7/20,120,190
NE,10/7/20,514,659
NH,10/7/20,162,282
OR,10/7/20,509,707
PR,10/7/20,450,642
RI,10/7/20,140,157
SD,10/7/20,116,154
TX,10/7/20,5685,6978
VT,10/7/20,73,103
MO,10/8/20,1589,2207
ND,10/8/20,115,189
NE,10/8/20,468,631
NH,10/8/20,166,282
OR,10/8/20,507,707
PR,10/8/20,452,641
RI,10/8/20,135,160
SD,10/8/20,103,152
TX,10/8/20,5755,6878
VT,10/8/20,72,102
MO,10/9/20,1602,2204
ND,10/9/20,116,189
NE,10/9/20,500,659
NH,10/9/20,155,282
OR,10/9/20,501,703
PR,10/9/20,449,669
RI,10/9/20,132,156
SD,10/9/20,108,154
TX,10/9/20,5578,7181
VT,10/9/20,70,102
MO,10/10/20,1596,2205
ND,10/10/20,119,184
NE,10/10/20,413,623
NH,10/10/20,152,282
OR,10/10/20,488,692
PR,10/10/20,472,685
RI,10/10/20,150,172
SD,10/10/20,100,155
TX,10/10/20,5506,7155
VT,10/10/20,69,104
NC,9/10/20,1907,2401
NC,9/11/20,1954,2396
NC,9/12/20,1933,2398
NC,9/13/20,1826,2393
NC,9/14/20,1831,2378
NC,9/15/20,1856,2388
NC,9/16/20,1862,2384
NC,9/17/20,1822,2388
NC,9/18/20,1826,2388
NC,9/19/20,1833,2395
NC,9/20/20,1788,2384
NC,9/21/20,1837,2438
NC,9/22/20,1858,2456
NC,9/23/20,1914,2394
NC,9/24/20,1898,2402
NC,9/25/20,1805,2375
NC,9/26/20,1790,2368
NC,9/27/20,1782,2352
NC,9/28/20,1808,2354
NC,9/29/20,1867,2365
NC,9/30/20,1903,2363
NC,10/1/20,1862,2364
NC,10/2/20,1854,2383
NC,10/3/20,1770,2361
NC,10/4/20,1764,2356
NC,10/5/20,1834,2401
NC,10/6/20,1891,2411
NC,10/7/20,1902,2412
NC,10/8/20,1904,2429
NC,10/9/20,1886,2421
NC,10/10/20,1833,2418
NM,9/10/20,286,391
NM,9/11/20,282,390
NM,9/12/20,274,394
NM,9/13/20,254,394
NM,9/14/20,268,390
NM,9/15/20,280,395
NM,9/16/20,286,397
NM,9/17/20,290,397
NM,9/18/20,292,405
NM,9/19/20,291,397
NM,9/20/20,282,395
NM,9/21/20,273,395
NM,9/22/20,289,394
NM,9/23/20,280,390
NM,9/24/20,290,388
NM,9/25/20,295,388
NM,9/26/20,268,387
NM,9/27/20,274,390
NM,9/28/20,265,390
NM,9/29/20,281,390
NM,9/30/20,282,390
NM,10/1/20,282,391
NM,10/2/20,275,390
NM,10/3/20,283,388
NM,10/4/20,284,389
NM,10/5/20,277,389
NM,10/6/20,294,392
NM,10/7/20,301,393
NM,10/8/20,304,394
NM,10/9/20,289,392
NM,10/10/20,297,394
OH,9/10/20,2616,3750
OK,9/10/20,784,1130
PA,9/10/20,2863,3481
SC,9/10/20,946,1318
TN,9/10/20,1662,2024
UT,9/10/20,351,562
VA,9/10/20,1044,1461
WA,9/10/20,867,914
WI,9/10/20,865,1563
OH,9/11/20,2605,3755
OK,9/11/20,758,1128
PA,9/11/20,2872,3471
SC,9/11/20,944,1313
TN,9/11/20,1640,2025
UT,9/11/20,354,556
VA,9/11/20,1045,1468
WA,9/11/20,905,914
WI,9/11/20,874,1542
OH,9/12/20,2558,3784
OK,9/12/20,744,1127
PA,9/12/20,2772,3442
SC,9/12/20,948,1311
TN,9/12/20,1620,2024
UT,9/12/20,371,561
VA,9/12/20,1013,1425
WA,9/12/20,878,912
WI,9/12/20,851,1536
OH,9/13/20,2408,3786
OK,9/13/20,746,1128
PA,9/13/20,2696,3427
SC,9/13/20,923,1291
TN,9/13/20,1561,2027
UT,9/13/20,325,559
VA,9/13/20,996,1478
WA,9/13/20,848,911
WI,9/13/20,819,1532
OH,9/14/20,2404,3766
OK,9/14/20,764,1128
PA,9/14/20,2684,3398
SC,9/14/20,915,1295
TN,9/14/20,1536,2002
UT,9/14/20,348,566
VA,9/14/20,1013,1477
WA,9/14/20,850,910
WI,9/14/20,790,1528
OH,9/15/20,2586,3778
OK,9/15/20,771,1126
PA,9/15/20,2852,3449
SC,9/15/20,953,1318
TN,9/15/20,1608,2007
UT,9/15/20,364,567
VA,9/15/20,1076,1482
WA,9/15/20,868,913
WI,9/15/20,875,1538
OH,9/16/20,2602,3779
OK,9/16/20,817,1134
PA,9/16/20,2834,3467
SC,9/16/20,935,1317
TN,9/16/20,1635,2014
UT,9/16/20,359,560
VA,9/16/20,1077,1464
WA,9/16/20,900,911
WI,9/16/20,911,1551
OH,9/17/20,2622,3762
OK,9/17/20,792,1138
PA,9/17/20,2778,3457
SC,9/17/20,938,1314
TN,9/17/20,1621,2063
UT,9/17/20,368,559
VA,9/17/20,1342,1822
WA,9/17/20,908,912
WI,9/17/20,882,1558
OH,9/18/20,2650,3786
OK,9/18/20,793,1136
PA,9/18/20,2700,3387
SC,9/18/20,925,1315
TN,9/18/20,1589,2074
UT,9/18/20,375,563
VA,9/18/20,1290,1837
WA,9/18/20,924,908
WI,9/18/20,892,1553
OH,9/19/20,2578,3794
OK,9/19/20,775,1131
PA,9/19/20,2677,3379
SC,9/19/20,909,1314
TN,9/19/20,1609,2086
UT,9/19/20,367,549
VA,9/19/20,1274,1817
WA,9/19/20,900,911
WI,9/19/20,844,1568
OH,9/20/20,2394,3806
OK,9/20/20,747,1130
PA,9/20/20,2621,3393
SC,9/20/20,900,1312
TN,9/20/20,1528,2042
UT,9/20/20,358,551
VA,9/20/20,1236,1834
WA,9/20/20,865,910
WI,9/20/20,834,1568
OH,9/21/20,2376,3780
OK,9/21/20,771,1162
PA,9/21/20,2702,3397
SC,9/21/20,898,1313
TN,9/21/20,1552,2045
UT,9/21/20,322,548
VA,9/21/20,1250,1837
WA,9/21/20,894,910
WI,9/21/20,852,1567
OH,9/22/20,2556,3764
OK,9/22/20,815,1185
PA,9/22/20,2781,3412
SC,9/22/20,960,1323
TN,9/22/20,1586,2089
UT,9/22/20,354,547
VA,9/22/20,1317,1843
WA,9/22/20,963,908
WI,9/22/20,936,1544
OH,9/23/20,2629,3771
OK,9/23/20,804,1187
PA,9/23/20,2824,3432
SC,9/23/20,962,1313
TN,9/23/20,1618,2091
UT,9/23/20,359,547
VA,9/23/20,1308,1843
WA,9/23/20,970,908
WI,9/23/20,954,1550
OH,9/24/20,2633,3759
OK,9/24/20,822,1182
PA,9/24/20,2834,3442
SC,9/24/20,958,1322
TN,9/24/20,1609,2090
UT,9/24/20,350,558
VA,9/24/20,1298,1846
WA,9/24/20,997,930
WI,9/24/20,984,1568
OH,9/25/20,2667,3767
OK,9/25/20,822,1185
PA,9/25/20,2882,3428
SC,9/25/20,944,1322
TN,9/25/20,1624,2229
UT,9/25/20,371,558
VA,9/25/20,1350,1854
WA,9/25/20,950,926
WI,9/25/20,930,1569
OH,9/26/20,2605,3771
OK,9/26/20,817,1190
PA,9/26/20,2769,3418
SC,9/26/20,932,1329
TN,9/26/20,1616,2101
UT,9/26/20,365,558
VA,9/26/20,1262,1814
WA,9/26/20,959,912
WI,9/26/20,915,1571
OH,9/27/20,2531,3790
OK,9/27/20,809,1197
PA,9/27/20,2705,3423
SC,9/27/20,898,1329
TN,9/27/20,1556,2087
UT,9/27/20,340,555
VA,9/27/20,1250,1868
WA,9/27/20,886,910
WI,9/27/20,905,1568
OH,9/28/20,2487,3730
OK,9/28/20,817,1192
PA,9/28/20,2708,3417
SC,9/28/20,910,1311
TN,9/28/20,1551,1994
UT,9/28/20,321,555
VA,9/28/20,1253,1857
WA,9/28/20,862,912
WI,9/28/20,914,1569
OH,9/29/20,2632,3728
OK,9/29/20,817,1184
PA,9/29/20,2862,3426
SC,9/29/20,958,1312
TN,9/29/20,1657,2101
UT,9/29/20,343,559
VA,9/29/20,1299,1854
WA,9/29/20,854,908
WI,9/29/20,986,1564
OH,9/30/20,2682,3751
OK,9/30/20,837,1175
PA,9/30/20,2893,3436
SC,9/30/20,951,1322
TN,9/30/20,1661,2043
UT,9/30/20,361,548
VA,9/30/20,1317,1855
WA,9/30/20,890,909
WI,9/30/20,1039,1582
OH,10/1/20,2664,3759
OK,10/1/20,853,1182
PA,10/1/20,2879,3461
SC,10/1/20,923,1324
TN,10/1/20,1649,2045
UT,10/1/20,366,560
VA,10/1/20,1309,1863
WA,10/1/20,900,909
WI,10/1/20,1036,1613
OH,10/2/20,2621,3746
OK,10/2/20,834,1176
PA,10/2/20,2864,3437
SC,10/2/20,922,1327
TN,10/2/20,1678,2022
UT,10/2/20,373,560
VA,10/2/20,1354,1859
WA,10/2/20,900,909
WI,10/2/20,997,1589
OH,10/3/20,2644,3770
OK,10/3/20,822,1176
PA,10/3/20,2787,3408
SC,10/3/20,899,1324
TN,10/3/20,1603,2065
UT,10/3/20,361,554
VA,10/3/20,1329,1819
WA,10/3/20,880,913
WI,10/3/20,987,1609
OH,10/4/20,2555,3783
OK,10/4/20,824,1181
PA,10/4/20,2700,3397
SC,10/4/20,886,1323
TN,10/4/20,1600,2039
UT,10/4/20,344,554
VA,10/4/20,1395,1979
WA,10/4/20,864,952
WI,10/4/20,958,1601
OH,10/5/20,2509,3756
OK,10/5/20,826,1177
PA,10/5/20,2707,3399
SC,10/5/20,882,1325
TN,10/5/20,1590,2034
UT,10/5/20,334,550
VA,10/5/20,1634,2311
WA,10/5/20,805,927
WI,10/5/20,962,1590
OH,10/6/20,2621,3698
OK,10/6/20,841,1171
PA,10/6/20,2843,3430
SC,10/6/20,943,1326
TN,10/6/20,1670,2041
UT,10/6/20,370,550
VA,10/6/20,1651,2318
WA,10/6/20,897,914
WI,10/6/20,982,1582
OH,10/7/20,2594,3678
OK,10/7/20,860,1182
PA,10/7/20,2776,3266
SC,10/7/20,965,1327
TN,10/7/20,1664,2048
UT,10/7/20,372,550
VA,10/7/20,1441,1979
WA,10/7/20,940,910
WI,10/7/20,1025,1594
OH,10/8/20,2580,3691
OK,10/8/20,857,1177
PA,10/8/20,2774,3270
SC,10/8/20,998,1342
TN,10/8/20,1650,2040
UT,10/8/20,368,550
VA,10/8/20,1292,1860
WA,10/8/20,964,906
WI,10/8/20,1032,1599
OH,10/9/20,2624,3701
OK,10/9/20,866,1183
PA,10/9/20,2740,3282
SC,10/9/20,969,1355
TN,10/9/20,1634,1994
UT,10/9/20,375,547
VA,10/9/20,1346,1851
WA,10/9/20,972,910
WI,10/9/20,1026,1597
OH,10/10/20,2527,3699
OK,10/10/20,852,1189
PA,10/10/20,2690,3245
SC,10/10/20,951,1306
TN,10/10/20,1633,1992
UT,10/10/20,364,542
VA,10/10/20,1314,1845
WA,10/10/20,969,911
WI,10/10/20,1023,1579
WV,9/10/20,470,626
WV,9/11/20,452,625
WV,9/12/20,448,626
WV,9/13/20,430,626
WV,9/14/20,454,626
WV,9/15/20,475,626
WV,9/16/20,481,628
WV,9/17/20,498,626
WV,9/18/20,488,628
WV,9/19/20,455,648
WV,9/20/20,444,670
WV,9/21/20,427,668
WV,9/22/20,459,668
WV,9/23/20,449,668
WV,9/24/20,455,668
WV,9/25/20,470,668
WV,9/26/20,466,668
WV,9/27/20,457,668
WV,9/28/20,454,668
WV,9/29/20,478,670
WV,9/30/20,488,670
WV,10/1/20,484,668
WV,10/2/20,473,668
WV,10/3/20,460,629
WV,10/4/20,471,629
WV,10/5/20,454,629
WV,10/6/20,467,629
WV,10/7/20,470,628
WV,10/8/20,464,625
WV,10/9/20,476,623
WV,10/10/20,451,623
WY,9/10/20,50,117
WY,9/11/20,50,119
WY,9/12/20,50,117
WY,9/13/20,50,118
WY,9/14/20,44,119
WY,9/15/20,43,118
WY,9/16/20,41,118
WY,9/17/20,47,118
WY,9/18/20,41,118
WY,9/19/20,38,119
WY,9/20/20,33,119
WY,9/21/20,44,117
WY,9/22/20,43,117
WY,9/23/20,36,116
WY,9/24/20,35,116
WY,9/25/20,36,116
WY,9/26/20,41,116
WY,9/27/20,38,116
WY,9/28/20,40,116
WY,9/29/20,40,116
WY,9/30/20,42,116
WY,10/1/20,40,116
WY,10/2/20,47,116
WY,10/3/20,44,116
WY,10/4/20,44,116
WY,10/5/20,47,116
WY,10/6/20,52,114
WY,10/7/20,60,114
WY,10/8/20,55,114
WY,10/9/20,50,114
WY,10/10/20,51,114